Z,	X 
-0.1,	6.501002004008015 
-0.1,	6.534869739478957 
-0.1,	6.568737474949899 
-0.1,	6.60260521042084 
-0.1,	6.636472945891783 
-0.1,	6.670340681362725 
-0.1,	6.704208416833667 
-0.1,	6.738076152304608 
-0.1,	6.77194388777555 
-0.1,	6.805811623246492 
-0.1,	6.839679358717434 
-0.1,	6.873547094188376 
-0.1,	6.907414829659318 
-0.1,	6.94128256513026 
-0.1,	6.975150300601202 
-0.1,	7.009018036072144 
-0.1,	7.0428857715430855 
-0.1,	7.076753507014027 
-0.1,	7.110621242484969 
-0.1,	7.14448897795591 
-0.1,	7.178356713426853 
-0.1,	7.2122244488977945 
-0.1,	7.246092184368736 
-0.1,	7.279959919839678 
-0.1,	7.31382765531062 
-0.1,	7.347695390781562 
-0.1,	7.381563126252503 
-0.1,	7.415430861723446 
-0.1,	7.449298597194388 
-0.1,	7.48316633266533 
-0.1,	7.5170340681362715 
-0.1,	7.550901803607213 
-0.1,	7.584769539078155 
-0.1,	7.618637274549097 
-0.1,	7.652505010020039 
-0.1,	7.686372745490981 
-0.1,	7.720240480961923 
-0.1,	7.754108216432865 
-0.1,	7.787975951903807 
-0.1,	7.8218436873747486 
-0.1,	7.85571142284569 
-0.1,	7.889579158316632 
-0.1,	7.923446893787575 
-0.1,	7.957314629258517 
-0.1,	7.991182364729458 
-0.1,	8.025050100200401 
-0.1,	8.058917835671343 
-0.1,	8.092785571142283 
-0.1,	8.126653306613225 
-0.1,	8.160521042084167 
-0.1,	8.194388777555108 
-0.1,	8.22825651302605 
-0.1,	8.262124248496992 
-0.1,	8.295991983967934 
-0.1,	8.329859719438877 
-0.1,	8.363727454909819 
-0.1,	8.39759519038076 
-0.1,	8.431462925851703 
-0.1,	8.465330661322644 
-0.1,	8.499198396793586 
-0.1,	8.533066132264528 
-0.1,	8.56693386773547 
-0.1,	8.600801603206412 
-0.1,	8.634669338677353 
-0.1,	8.668537074148295 
-0.1,	8.702404809619237 
-0.1,	8.736272545090179 
-0.1,	8.77014028056112 
-0.1,	8.804008016032062 
-0.1,	8.837875751503004 
-0.1,	8.871743486973946 
-0.1,	8.905611222444888 
-0.1,	8.93947895791583 
-0.1,	8.973346693386771 
-0.1,	9.007214428857713 
-0.1,	9.041082164328655 
-0.1,	9.074949899799599 
-0.1,	9.10881763527054 
-0.1,	9.142685370741482 
-0.1,	9.176553106212424 
-0.1,	9.210420841683366 
-0.1,	9.244288577154308 
-0.1,	9.27815631262525 
-0.1,	9.312024048096191 
-0.1,	9.345891783567133 
-0.1,	9.379759519038075 
-0.1,	9.413627254509016 
-0.1,	9.447494989979958 
-0.1,	9.4813627254509 
-0.1,	9.515230460921842 
-0.1,	9.549098196392784 
-0.1,	9.582965931863727 
-0.1,	9.616833667334669 
-0.1,	9.65070140280561 
-0.1,	9.684569138276553 
-0.1,	9.718436873747494 
-0.1,	9.752304609218436 
-0.1,	9.786172344689378 
-0.1,	9.82004008016032 
-0.1,	9.853907815631262 
-0.1,	9.887775551102203 
-0.1,	9.921643286573145 
-0.1,	9.955511022044087 
-0.1,	9.989378757515029 
-0.1,	10.02324649298597 
-0.1,	10.057114228456912 
-0.1,	10.090981963927856 
-0.1,	10.124849699398798 
-0.1,	10.15871743486974 
-0.1,	10.192585170340681 
-0.1,	10.226452905811623 
-0.1,	10.260320641282565 
-0.1,	10.294188376753507 
-0.1,	10.328056112224449 
-0.1,	10.36192384769539 
-0.1,	10.395791583166332 
-0.1,	10.429659318637272 
-0.1,	10.463527054108214 
-0.1,	10.497394789579156 
-0.1,	10.531262525050098 
-0.1,	10.56513026052104 
-0.1,	10.598997995991981 
-0.1,	10.632865731462925 
-0.1,	10.666733466933866 
-0.1,	10.700601202404808 
-0.1,	10.73446893787575 
-0.1,	10.768336673346692 
-0.1,	10.802204408817634 
-0.1,	10.836072144288575 
-0.1,	10.869939879759517 
-0.1,	10.903807615230459 
-0.1,	10.9376753507014 
-0.1,	10.971543086172343 
-0.1,	11.005410821643284 
-0.1,	11.039278557114226 
-0.1,	11.073146292585168 
-0.1,	11.10701402805611 
-0.1,	11.140881763527053 
-0.1,	11.174749498997995 
-0.1,	11.208617234468937 
-0.1,	11.242484969939879 
-0.1,	11.27635270541082 
-0.1,	11.310220440881762 
-0.1,	11.344088176352704 
-0.1,	11.377955911823646 
-0.1,	11.411823647294588 
-0.1,	11.44569138276553 
-0.1,	11.479559118236471 
-0.1,	11.513426853707413 
-0.1,	11.547294589178355 
-0.1,	11.581162324649297 
-0.1,	11.615030060120239 
-0.1,	11.648897795591182 
-0.1,	11.682765531062124 
-0.1,	11.716633266533066 
-0.1,	11.750501002004007 
-0.1,	11.78436873747495 
-0.1,	11.818236472945891 
-0.1,	11.852104208416833 
-0.1,	11.885971943887775 
-0.1,	11.919839679358716 
-0.1,	11.953707414829658 
-0.1,	11.9875751503006 
-0.1,	12.021442885771542 
-0.1,	12.055310621242484 
-0.1,	12.089178356713425 
-0.1,	12.123046092184367 
-0.1,	12.15691382765531 
-0.1,	12.190781563126253 
-0.1,	12.224649298597194 
-0.1,	12.258517034068136 
-0.1,	12.292384769539078 
-0.1,	12.326252505010018 
-0.1,	12.36012024048096 
-0.1,	12.393987975951902 
-0.1,	12.427855711422843 
-0.1,	12.461723446893785 
-0.1,	12.495591182364727 
-0.1,	12.529458917835669 
-0.1,	12.56332665330661 
-0.1,	12.597194388777552 
-0.1,	12.631062124248494 
-0.1,	12.664929859719438 
-0.1,	12.69879759519038 
-0.1,	12.732665330661321 
-0.1,	12.766533066132263 
-0.1,	12.800400801603205 
-0.1,	12.834268537074147 
-0.1,	12.868136272545089 
-0.1,	12.90200400801603 
-0.1,	12.935871743486972 
-0.1,	12.969739478957914 
-0.1,	13.003607214428856 
-0.1,	13.037474949899797 
-0.1,	13.07134268537074 
-0.1,	13.105210420841681 
-0.1,	13.139078156312623 
-0.1,	13.172945891783566 
-0.1,	13.206813627254508 
-0.1,	13.24068136272545 
-0.1,	13.274549098196392 
-0.1,	13.308416833667334 
-0.1,	13.342284569138275 
-0.1,	13.376152304609217 
-0.1,	13.410020040080159 
-0.1,	13.4438877755511 
-0.1,	13.477755511022043 
-0.1,	13.511623246492984 
-0.1,	13.545490981963926 
-0.1,	13.579358717434868 
-0.1,	13.61322645290581 
-0.1,	13.647094188376752 
-0.1,	13.680961923847695 
-0.1,	13.714829659318637 
-0.1,	13.748697394789579 
-0.1,	13.78256513026052 
-0.1,	13.816432865731462 
-0.1,	13.850300601202404 
-0.1,	13.884168336673346 
-0.1,	13.918036072144288 
-0.1,	13.95190380761523 
-0.1,	13.985771543086171 
-0.1,	14.019639278557113 
-0.1,	14.053507014028055 
-0.1,	14.087374749498997 
-0.1,	14.121242484969939 
-0.1,	14.15511022044088 
-0.1,	14.18897795591182 
-0.1,	14.222845691382764 
-0.1,	14.256713426853706 
-0.1,	14.290581162324647 
-0.1,	14.32444889779559 
-0.1,	14.358316633266531 
-0.1,	14.392184368737473 
-0.1,	14.426052104208415 
-0.1,	14.459919839679356 
-0.1,	14.493787575150298 
-0.1,	14.52765531062124 
-0.1,	14.561523046092182 
-0.1,	14.595390781563124 
-0.1,	14.629258517034065 
-0.1,	14.663126252505007 
-0.1,	14.696993987975949 
-0.1,	14.730861723446893 
-0.1,	14.764729458917834 
-0.1,	14.798597194388776 
-0.1,	14.832464929859718 
-0.1,	14.86633266533066 
-0.1,	14.900200400801602 
-0.1,	14.934068136272543 
-0.1,	14.967935871743485 
-0.1,	15.001803607214427 
-0.1,	15.035671342685369 
-0.1,	15.06953907815631 
-0.1,	15.103406813627252 
-0.1,	15.137274549098194 
-0.1,	15.171142284569136 
-0.1,	15.205010020040078 
-0.1,	15.238877755511021 
-0.1,	15.272745490981963 
-0.1,	15.306613226452905 
-0.1,	15.340480961923847 
-0.1,	15.374348697394788 
-0.1,	15.40821643286573 
-0.1,	15.442084168336672 
-0.1,	15.475951903807614 
-0.1,	15.509819639278556 
-0.1,	15.543687374749497 
-0.1,	15.57755511022044 
-0.1,	15.611422845691381 
-0.1,	15.645290581162323 
-0.1,	15.679158316633265 
-0.1,	15.713026052104208 
-0.1,	15.74689378757515 
-0.1,	15.780761523046092 
-0.1,	15.814629258517034 
-0.1,	15.848496993987975 
-0.1,	15.882364729458917 
-0.1,	15.916232464929859 
-0.1,	15.9501002004008 
-0.1,	15.983967935871743 
-0.1,	16.017835671342684 
-0.1,	16.051703406813626 
-0.1,	16.085571142284568 
-0.1,	16.11943887775551 
-0.1,	16.15330661322645 
-0.1,	16.187174348697393 
-0.1,	16.221042084168335 
-0.1,	16.254909819639277 
-0.1,	16.28877755511022 
-0.1,	16.32264529058116 
-0.1,	16.356513026052102 
-0.1,	16.390380761523044 
-0.1,	16.424248496993986 
-0.1,	16.458116232464928 
-0.1,	16.49198396793587 
-0.1,	16.525851703406815 
-0.1,	16.559719438877757 
-0.1,	16.5935871743487 
-0.1,	16.62745490981964 
-0.1,	16.661322645290582 
-0.1,	16.695190380761524 
-0.1,	16.729058116232466 
-0.1,	16.762925851703407 
-0.1,	16.79679358717435 
-0.1,	16.83066132264529 
-0.1,	16.864529058116233 
-0.1,	16.898396793587175 
-0.1,	16.932264529058116 
-0.1,	16.966132264529058 
-0.1,	17.0 
